address,name,lat,lng,visit,category,sub_category
"서울특별시 강북구 도봉로87길 24, 지하1층호 (수유동)",락앤롤데이,37.63877904,127.024589,0,음식점,감성주점
"서울특별시 강남구 압구정로46길 71-1, 지하1층 (신사동)",마인더갭,37.52411336,127.0368066,0,음식점,감성주점
"서울특별시 강남구 압구정로46길 53, 지하1층 (신사동)",물라라운지,37.52510632,127.036171,0,음식점,감성주점
"서울특별시 양천구 목동중앙서로 50, 지층 전체호 (목동)",커피를 만나다,37.53298894,126.8693756,0,음식점,감성주점
"서울특별시 중구 마른내로 50-1, 2층 (인현동1가)",포웨이스탑(Four way stop),37.56424088,126.9933803,0,음식점,감성주점
"서울특별시 중구 을지로16길 20, 5층 (을지로3가)",육일봉,37.56554775,126.9933962,0,음식점,감성주점
"서울특별시 양천구 은행정로4길 2, 1층 (신정동)",맥줏-堂당,37.52089448,126.8601144,0,음식점,감성주점
서울특별시 노원구 상계로24길 9 (상계동),파트너,37.65797009,127.0699043,0,음식점,감성주점
"서울특별시 용산구 독서당로 70, 현대리버티하우스 지하층 302호 (한남동)",헬리녹스아카이브,37.5335774,127.0086788,0,음식점,감성주점
"서울특별시 강남구 선릉로148길 52-10, 지하1층 (청담동)",메이트재즈,37.52243042,127.0436999,0,음식점,감성주점
"서울특별시 강남구 언주로170길 25, 지하1층 (신사동)",888라운지,37.52682999,127.0357339,0,음식점,감성주점
"서울특별시 강북구 월계로7나길 39, 지층 (미아동)",아나로그 55-47,37.61267037,127.0317117,0,음식점,감성주점
"서울특별시 강남구 논현로 613, 2층 201호 (논현동)",언주혼,37.50851251,127.0329589,0,음식점,감성주점
"서울특별시 종로구 성균관로4길 21, 1층 (명륜2가)",에스빠스,37.58490632,126.9984798,0,음식점,감성주점
"서울특별시 강남구 언주로98길 36, 루트원 레지던스 지상1층 101호 (역삼동)",카페드 리옹,37.50452825,127.0446288,0,음식점,감성주점
"서울특별시 강남구 선릉로86길 40, 2층 (대치동)",88노가리 선릉점,37.50386145,127.052927,0,음식점,감성주점
"서울특별시 강남구 강남대로152길 18, 지상2층 (신사동)",배가네 목포집,37.51732964,127.0209791,0,음식점,감성주점
"서울특별시 양천구 목동중앙서로 5, 2층 일부호 (목동)",맥주창고 세계맥주,37.53264815,126.864488,0,음식점,감성주점
"서울특별시 강남구 도산대로87길 11, 지하1층 (청담동)",싸우나뮤직바,37.52544076,127.049811,0,음식점,감성주점
"서울특별시 서대문구 연세로9길 10-1, 지하1~2층 (창천동)",바플라이(Barfly:별밤),37.55863286,126.9361775,0,음식점,감성주점
서울특별시 노원구 상계로24길 9 (상계동),러브,37.65797009,127.0699043,0,음식점,감성주점
서울특별시 송파구 양재대로62길 48 (가락동),한잔어때,37.49582294,127.1204409,0,음식점,경양식
"서울특별시 서초구 효령로 36 (방배동,1층)",링크,37.47811194,126.9887871,0,음식점,경양식
서울특별시 종로구 북촌로2길 12-4 (재동),수왕,37.57771141,126.9863226,0,음식점,경양식
"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점 강남점 )",아모제푸드(주) 카페아모제 신세계강남점,37.5043641,127.0036209,0,음식점,경양식
"서울특별시 중구 칠패로 42 (봉래동1가,외24필지 우리빌딩1층)",가이야,37.55960715,126.9738111,0,음식점,경양식
"서울특별시 서초구 서초중앙로24길 9, 1층 (서초동)",톨리브 교대지점,37.49489189,127.0147027,0,음식점,경양식
서울특별시 중구 삼일대로9길 12 (저동1가),휠,37.56345793,126.9880092,0,음식점,경양식
서울특별시 중구 퇴계로 428-5 (신당동),미녀,37.56527252,127.0193325,0,음식점,경양식
"서울특별시 서대문구 연세로11길 20 (창천동, 1층)",썬더치킨,37.55904202,126.9357703,0,음식점,경양식
"서울특별시 영등포구 국제금융로 78, 2동  221호 (여의도동,홍우빌딩)",털보 스테이크,37.52081846,126.9311535,0,음식점,경양식
"서울특별시 종로구 평창문화로 136, 킴스관광호텔 (평창동)",두레유,37.60944928,126.9751172,0,음식점,경양식
서울특별시 중구 퇴계로 62 (회현동1가),신전떡볶이 남대문점,37.55897039,126.9791274,0,음식점,경양식
"서울특별시 은평구 북한산로 226, 2층 (진관동)",쏘렌토,37.6507644,126.9370957,0,음식점,경양식
"서울특별시 서초구 서초중앙로 69 (서초동,르네상스오피스텔1층2호)",다우리,37.48791087,127.0141874,0,음식점,경양식
"서울특별시 은평구 연서로27길 20 (갈현동, 1층)",우마이,37.61836361,126.9175575,0,음식점,경양식
서울특별시 서초구 서초대로48길 23 (서초동),어게인,37.49183879,127.0116859,0,음식점,경양식
서울특별시 은평구 서오릉로 130 (대조동),피자스쿨 구산역점,37.61078324,126.9185077,0,음식점,경양식
"서울특별시 서초구 서초대로73길 30 (서초동,성우상가 1호 2호)",엑시트(EXIT),37.50009608,127.0248858,0,음식점,경양식
서울특별시 종로구 대학로 133-2 (명륜4가),뚜레쥬르,37.58310495,127.0014835,0,음식점,경양식
"서울특별시 은평구 통일로 585-1 (응암동, 1층)",호텔 씨에스 에비뉴,37.59909823,126.9364267,0,음식점,경양식
"서울특별시 영등포구 국회대로76길 18 (여의도동, 오성빌딩 지상2층 206호,207호)",전진,37.52997862,126.922244,0,음식점,경양식
"서울특별시 종로구 율곡로 75, 현대빌딩 1층 (계동)",블루몬테,37.57841193,126.9873986,0,음식점,경양식
서울특별시 중구 세종대로 39 (남대문로4가),로댕,37.56055274,126.9738584,0,음식점,경양식
서울특별시 종로구 창경궁로 235 (명륜4가),한잔할청춘아,37.58293349,126.9983986,0,음식점,경양식
서울특별시 중구 명동길 61 (명동1가),그랜드 키친,37.56431503,126.9856445,0,음식점,경양식
"서울특별시 종로구 대학로 132 (동숭동,지하1층)",잃어버린도시마야,37.58309375,127.0020891,0,음식점,경양식
서울특별시 영등포구 여의동로 290 (여의도동),(주)이크루즈브리티니아호,37.5290855,126.9362379,0,음식점,경양식
"서울특별시 중랑구 답십리로75길 73, 109동 101호 (면목동, 경남아너스빌아파트)",쿡앤파스타,37.57548725,127.0804475,0,음식점,경양식
"서울특별시 용산구 신흥로 99-4, 2층 (용산동2가)",몽블랑,37.54488885,126.9848527,0,음식점,경양식
"서울특별시 광진구 자양로 112, 1층 105,106호 (구의동)",미태리구의역점,37.53777912,127.0836669,0,음식점,경양식
"서울특별시 강남구 남부순환로359길 14, 지상1층 (도곡동)",히노카츠,37.48593685,127.0366639,0,음식점,경양식
"서울특별시 강남구 역삼로64길 7, 지상1층 101호 (대치동)",버닝스톤,37.50063979,127.0530071,0,음식점,경양식
"서울특별시 관악구 은천로 3, 1층 (봉천동)",와우수제돈까스,37.4865502,126.935635,0,음식점,경양식
"서울특별시 강남구 역삼로20길 9, 5층 (역삼동)",오마주,37.49470503,127.0376596,0,음식점,경양식
"서울특별시 광진구 아차산로33길 35, 3층 (화양동)",엘루이비스트로,37.54193675,127.0704822,0,음식점,경양식
"서울특별시 성동구 아차산로17길 11, 1층 (성수동2가)",앳모스피어(atmosphere),37.54346858,127.0637627,0,음식점,경양식
"서울특별시 용산구 장문로6길 110, 1층 (보광동)",오이너구리,37.52579991,126.9969514,0,음식점,경양식
"서울특별시 영등포구 도신로 106, 2층 1호 (신길동)",요녀석파스타 영등포점,37.50752486,126.9038507,0,음식점,경양식
"서울특별시 광진구 구의로 63, 1층 (구의동)",옐로우피자 건대점,37.54363642,127.0902557,0,음식점,경양식
"서울특별시 종로구 자하문로7길 36, 1층 (통인동)",퀴진 라끌레(Cuisine La cle),37.57921364,126.970292,0,음식점,경양식
"서울특별시 강남구 도산대로55길 45, 십이.이.사.칠빌딩 지하1층 (청담동)",카이포라,37.52659316,127.0409175,0,음식점,경양식
"서울특별시 구로구 구로동로25길 5-6, 1층 103호 (구로동)",유로코피자 구로점,37.49027238,126.8835002,0,음식점,경양식
"서울특별시 송파구 석촌호수로 210, 111호 (석촌동, 석촌호수효성해링턴타워)",석촌210 석촌호수 스테이크 하우스,37.50656282,127.1003723,0,음식점,경양식
"서울특별시 광진구 아차산로 466, 7층 (구의동)",더466루프탑,37.53975281,127.093892,0,음식점,경양식
"서울특별시 강남구 언주로107길 40, STAR 빌딩 지상1층 (역삼동)",올라아보,37.50718706,127.0359668,0,음식점,경양식
"서울특별시 강남구 테헤란로 302, 위워크타워 지하1층 (역삼동)",더블유더블유선릉일호점,37.50238849,127.0434481,0,음식점,경양식
"서울특별시 강남구 테헤란로 302, 위워크타워 지상15층 (역삼동)",더블유더블유선릉이호점,37.50238849,127.0434481,0,음식점,경양식
"서울특별시 강동구 양재대로147길 5, 2층 (명일동)",ENSEMBLE 앙상블,37.55218047,127.1437039,0,음식점,경양식
"서울특별시 중랑구 겸재로50나길 36, 1층 (면목동)",장수부띠끄,37.5873424,127.0935365,0,음식점,경양식
"서울특별시 강남구 강남대로110길 14, 지하1층 (역삼동)",이구펍4호점(29PUB),37.50375849,127.0260652,0,음식점,경양식
"서울특별시 관악구 남부순환로 1600-10, 2층 (신림동)",꿈당,37.48351413,126.9288256,0,음식점,경양식
"서울특별시 종로구 인왕산로 3, 1층 (사직동)",아르크,37.57486765,126.9672047,0,음식점,경양식
"서울특별시 강남구 삼성로86길 6, 지상2층 (대치동)",파스타빌,37.50551355,127.0579874,0,음식점,경양식
"서울특별시 강남구 논현로26길 55, 지상1층 (도곡동)",리베르떼,37.484438,127.046375,0,음식점,경양식
"서울특별시 강남구 영동대로 325, 지하3층 (대치동, 해암빌딩)",(주)바운스 트램폴린파크 삼성센터,37.50319761,127.0649976,0,음식점,경양식
"서울특별시 서대문구 서소문로 21, 충정타워빌딩 지하1층 115호 (충정로3가)",마티아,37.55981774,126.964036,0,음식점,경양식
"서울특별시 광진구 아차산로40길 16-3, 1층 (자양동)",카페열두달,37.53690308,127.0782387,0,음식점,경양식
"서울특별시 서대문구 통일로 465, 지상1층 (홍제동)",맘스터치 홍제역점,37.58978558,126.9425789,0,음식점,경양식
"서울특별시 서초구 동광로4길 5, 101호 (방배동)",베비토레(Bevitore),37.49058967,126.9847798,0,음식점,경양식
"서울특별시 강남구 남부순환로 2729, 바스타빌딩 지상1층,2층 (도곡동)",존쿡델리미트,37.48636234,127.0445885,0,음식점,경양식
