address,name,lat,lng,visit,category,sub_category
"서울특별시 종로구 혜화로9길 7 (명륜1가,지하1층)",나온씨어터,37.58770435,126.9994074,0,관광지,공연장
서울특별시 종로구 삼일대로 428 (낙원동),우리열린극장,37.57257499,126.9878035,0,관광지,공연장
"서울특별시 종로구 대학로10길 17 (동숭동,지하2.3층)",대학로예술극장소극장,37.5820862,127.0031804,0,관광지,공연장
"서울특별시 종로구 대학로12길 69 (동숭동,지하1층,2층)",CJ아지트(대학로),37.58103104,127.0039599,0,관광지,공연장
"서울특별시 종로구 우정국로 55 (견지동,한국불교역사문화기념관 지하2층)",전통문화예술공연장,37.57443804,126.9821367,0,관광지,공연장
"서울특별시 종로구 대학로8가길 85, 대학로문화공간 (동숭동)",대학로 티오엠2관,37.58228745,127.0036352,0,관광지,공연장
서울특별시 종로구 인왕산로1길 21 (사직동),광화문아트홀,37.5742762,126.9646706,0,관광지,공연장
"서울특별시 종로구 종로33길 15 (연지동,연강빌딩)",두산아트센터 Space111,37.57189853,127.0012219,0,관광지,공연장
서울특별시 종로구 혜화로5길 5 (명륜1가),선돌극장,37.58682672,126.999767,0,관광지,공연장
서울특별시 종로구 동숭길 55 (동숭동),콘텐츠박스,37.58077038,127.0041606,0,관광지,공연장
"서울특별시 종로구 대학로8가길 85, 대학로문화공간 (동숭동)",대학로 티오엠1관,37.58228745,127.0036352,0,관광지,공연장
서울특별시 종로구 대학로 132 (동숭동),아티스탄홀,37.58309375,127.0020891,0,관광지,공연장
"서울특별시 종로구 대학로 116, 공공일호 지하1층 (동숭동)",001스테이지,37.58154619,127.0023401,0,관광지,공연장
서울특별시 종로구 창경궁로 258-12 (명륜2가),열린극장,37.58373368,127.0004162,0,관광지,공연장
서울특별시 종로구 이화장길 99 (동숭동),스튜디오 76,37.57969598,127.00429,0,관광지,공연장
서울특별시 종로구 세종대로 175 (세종로),세종체임버홀,37.57223601,126.9759336,0,관광지,공연장
"서울특별시 종로구 대학로12길 31 (동숭동,자유빌딩 지2층)",자유극장,37.58276122,127.0036162,0,관광지,공연장
"서울특별시 종로구 율곡로3길 87 (소격동,지하1층)",아트선재센터,37.5794227,126.9818409,0,관광지,공연장
"서울특별시 종로구 이화장길 26, 6층 (이화동)",제이티앤 아트홀(JTN ART HALL) 4관,37.57662931,127.0039404,0,관광지,공연장
"서울특별시 종로구 이화장길 26 (이화동,예술마당)",제이티앤 아트홀(JTN ART HALL) 1관,37.57662931,127.0039404,0,관광지,공연장
"서울특별시 종로구 대학로8가길 30, 3층 (동숭동)",마루아트홀,37.58229361,127.0025235,0,관광지,공연장
"서울특별시 종로구 대학로12길 49, 3층 (동숭동)",세우아트센터 2관,37.58195578,127.0039799,0,관광지,공연장
"서울특별시 종로구 이화장길 26 (이화동,예술마당)",제이티앤 아트홀(JTN ART HALL) 2관,37.57662931,127.0039404,0,관광지,공연장
"서울특별시 종로구 이화장길 26, 4층 (이화동)",제이티앤 아트홀(JTN ART HALL) 3관,37.57662931,127.0039404,0,관광지,공연장
"서울특별시 종로구 인사동길 34-1, 인사아트플라자 지하2층 (관훈동)",엠스테이지2,37.57384267,126.9856094,0,관광지,공연장
서울특별시 종로구 대학로8가길 79 (동숭동),큐씨어터,37.58249216,127.0035425,0,관광지,공연장
"서울특별시 종로구 대학로12길 83 (동숭동,지하 1,2층)",대학로 아트원씨어터 1관,37.5802648,127.0039488,0,관광지,공연장
"서울특별시 종로구 대학로12길 83 (동숭동,3,4층)",대학로 아트원씨어터 2관,37.5802648,127.0039488,0,관광지,공연장
서울특별시 종로구 세종대로 175 (세종로),세종M씨어터,37.57223601,126.9759336,0,관광지,공연장
"서울특별시 종로구 세종대로 175, 세종문화회관 (세종로)",세종문화회관대극장,37.57223601,126.9759336,0,관광지,공연장
서울특별시 종로구 대학로12길 46 (동숭동),학전블루소극장,37.58208529,127.0037286,0,관광지,공연장
"서울특별시 종로구 대학로10길 24, 스타리움빌딩 지하1층 (동숭동)",틴틴홀,37.58160858,127.0035315,0,관광지,공연장
서울특별시 종로구 대학로12길 49 (동숭동),세우아트센터,37.58195578,127.0039799,0,관광지,공연장
"서울특별시 종로구 대학로8가길 129, 지하1층 (동숭동)",물빛극장,37.58032174,127.0035148,0,관광지,공연장
"서울특별시 종로구 동숭길 123, 지하1,2층 (동숭동, 드림아트센터)",드림아트센터 1관,37.58329411,127.0032916,0,관광지,공연장
서울특별시 종로구 대학로12길 22 (동숭동),아트포레스트 1관,37.582492,127.0030903,0,관광지,공연장
"서울특별시 종로구 대학로12길 22, 지상5층 (동숭동)",아트포레스트 2관,37.582492,127.0030903,0,관광지,공연장
"서울특별시 종로구 대학로8가길 30, 2층 (동숭동)",룸어씨어터,37.58229361,127.0025235,0,관광지,공연장
"서울특별시 종로구 수표로28길 7, 양지빌딩 4층 (낙원동)",월하예당,37.57289775,126.9888551,0,관광지,공연장
"서울특별시 종로구 창경궁로 258-9, 지하1층 (명륜2가)",서연아트홀,37.58390621,127.0005884,0,관광지,공연장
"서울특별시 종로구 동숭길 148, 지하2층~지하4층 (혜화동)",SKON(스콘) 1관,37.58351601,127.0021664,0,관광지,공연장
"서울특별시 종로구 동숭길 76, 지하1층 (동숭동)",해바라기 소극장,37.58164998,127.0042681,0,관광지,공연장
"서울특별시 종로구 동숭길 140, 지하1층 (혜화동)",아스가르드씨어터,37.58367779,127.0025608,0,관광지,공연장
"서울특별시 종로구 이화장길 58, 지하2층 (이화동)",졸탄극장,37.57789524,127.0046295,0,관광지,공연장
"서울특별시 종로구 동숭길 94, 지하1층 (동숭동)",JS 아트홀,37.58244132,127.0043478,0,관광지,공연장
"서울특별시 종로구 동숭길 148, 3층 (혜화동)",SKON(스콘) 2관,37.58351601,127.0021664,0,관광지,공연장
"서울특별시 종로구 창경궁로 259, 성지빌딩 2층 (명륜2가)",창조 소극장,37.58455447,127.0000408,0,관광지,공연장
"서울특별시 종로구 창경궁로 215, 국립어린이과학관 1층 (와룡동)",국립어린이과학관 과학극장,37.58227067,126.9969548,0,관광지,공연장
"서울특별시 종로구 대학로12길 69, 태원빌딩 3층 (동숭동)",정극장,37.58103104,127.0039599,0,관광지,공연장
"서울특별시 종로구 대학로 144, 중원빌딩 지하1층 (혜화동)",한양레퍼토리씨어터,37.58396484,127.0021668,0,관광지,공연장
"서울특별시 종로구 창경궁로 253-7, 지하1층 (명륜2가, 어젤리아 명륜2)",씨어터 쿰,37.5844524,126.9994849,0,관광지,공연장
서울특별시 종로구 창경궁로 254 (명륜2가),한성아트홀1관,37.58369872,127.0000204,0,관광지,공연장
"서울특별시 종로구 대학로8가길 30, 지하1층 (동숭동)",명작극장 2관,37.58229361,127.0025235,0,관광지,공연장
"서울특별시 종로구 대학로10길 17 (동숭동,2층~4층)",대학로예술극장 대극장,37.5820862,127.0031804,0,관광지,공연장
"서울특별시 종로구 대학로 128, 5층 (동숭동)",초록씨어터,37.58270652,127.0021525,0,관광지,공연장
"서울특별시 종로구 동숭길 78, 지하1층 (동숭동)",코델 아트홀,37.58175703,127.0042885,0,관광지,공연장
"서울특별시 종로구 이화장길 86-11, 지1층 (동숭동)",우리소극장,37.57923532,127.0051595,0,관광지,공연장
"서울특별시 종로구 동숭길 41, 지하2층 (동숭동)",업스테이지(UP STAGE),37.58010947,127.0042687,0,관광지,공연장
"서울특별시 종로구 동숭길 122, 서울문화재단 대학로 (동숭동)",대학로극장 쿼드,37.58366851,127.0036987,0,관광지,공연장
"서울특별시 종로구 대학로10길 26, 지하1층 (동숭동)",아트하우스,37.58160603,127.0037219,0,관광지,공연장
"서울특별시 종로구 효자로 23, 국제항운(주) B1층 (통의동)",오디오가이 스튜디오,37.57807333,126.9736713,0,관광지,공연장
"서울특별시 종로구 동숭길 74, 지하층 (동숭동)",플랫폼74,37.58154196,127.0043039,0,관광지,공연장
"서울특별시 종로구 자하문로10길 16, 비스플라자 4층 (통의동)",통의동클래식,37.57921675,126.9723495,0,관광지,공연장
"서울특별시 종로구 동숭길 47, 유센터(U-center) (동숭동)",청년극장,37.58035967,127.0042621,0,관광지,공연장
"서울특별시 종로구 대학로10길 11, 지하1층 (동숭동)",라온아트홀,37.58188755,127.0028025,0,관광지,공연장
"서울특별시 종로구 대학로14길 29, 지하1, 지하2층 (혜화동)",링크아트센터 페이코홀,37.5846116,127.0023358,0,관광지,공연장
"서울특별시 종로구 대학로14길 29, 2층, 3층 (혜화동)",링크아트센터 벅스홀,37.5846116,127.0023358,0,관광지,공연장
"서울특별시 종로구 동숭3길 30, 지하2층 (동숭동)",베리컴퍼니 1관,37.58234633,127.0048026,0,관광지,공연장
"서울특별시 종로구 동숭3길 30, 지하1층 (동숭동)",베리컴퍼니 2관,37.58234633,127.0048026,0,관광지,공연장
"서울특별시 종로구 창신길 119, 지하1층 (창신동)",뭐든지 소극장,37.57669207,127.0100167,0,관광지,공연장
"서울특별시 종로구 창경궁로 227, 성우빌딩 지하1층 (명륜4가)",창덕궁 소극장,37.58244111,126.997738,0,관광지,공연장
"서울특별시 종로구 대학로8가길 111, 지하1층 (동숭동)",대학로 연극플레이스 혜화,37.58099781,127.0035222,0,관광지,공연장
