address,name,lat,lng,visit,category,sub_category
서울특별시 종로구 청운동 7-2,인왕산 청운지구(1)(서시정 화장실),37.591132,126.9661352,0,화장실,공중화장실
서울특별시 종로구 청운동 7-3,인왕산 청운지구(2)(청운공원 화장실),37.5910013,126.9662242,0,화장실,공중화장실
서울특별시 종로구 청운동 산 1-1,창의문안내소 공중화장실(창의문 안내소 앞),37.5906062,126.9709242,0,화장실,공중화장실
서울특별시 종로구 삼청동 산2-1,삼청근린공원(관리실 옆),37.5893704,126.9803132,0,화장실,공중화장실
서울특별시 종로구 삼청동 산2-1,삼청근린공원(약수터 위),37.5893704,126.9803132,0,화장실,공중화장실
서울특별시 종로구 명륜3가 산2-13,와룡공원,37.5914418,126.9928991,0,화장실,공중화장실
서울특별시 종로구 신문로2가 2-1,경희궁공원,37.5700566,126.9705312,0,화장실,공중화장실
서울특별시 종로구 숭인동 58,숭인공원,37.5774818,127.0182146,0,화장실,공중화장실
서울특별시 종로구 동숭동 1-124,마로니에공원,37.5804885,127.0024063,0,화장실,공중화장실
서울특별시 종로구 숭인동 238-1,동묘공원,37.5727215,127.0184163,0,화장실,공중화장실
서울특별시 종로구 종로2가 38-1,탑골공원,37.5710497,126.9882687,0,화장실,공중화장실
서울특별시 종로구 창신동 산6-25,지봉골어린이공원,37.5788167,127.0146942,0,화장실,공중화장실
서울특별시 종로구 창신동 23-350,산마루놀이터,37.5755321,127.0123929,0,화장실,공중화장실
서울특별시 종로구 훈정동 2,종묘광장,37.5714598,126.9949388,0,화장실,공중화장실
서울특별시 종로구 삼봉로 43,종로구청화장실,37.5728109,126.9791251,0,화장실,공중화장실
"서울 종로구 자하문로19길 36(옥인동, 종로구보건소, 청운효자동자치회관)",보건소,37.5817685,126.9692571,0,화장실,공중화장실
서울특별시 돈화문로9가길 20-2,돈의동쪽방상담소 화장실,37.5721741,126.9910995,0,화장실,공중화장실
서울시 종로구 종로 50라길 31,창신동쪽방상담소 화장실,37.5702379,127.0143692,0,화장실,공중화장실
"서울특별시 종로구 종로17길 8, 3층",장애인통합회관 화장실,37.5706753,126.9889587,0,화장실,공중화장실
"서울특별시 종로구 대학로3길 14, 1층",종로구립장애인근로사업장(더해봄),37.5741063,127.0014262,0,화장실,공중화장실
서울특별시 종로구 북촌로5길 48,북촌마을안내소공중화장실,37.5807856,126.9831611,0,화장실,공중화장실
"서울 종로구 자하문로33길 89, 지하2층",신교공영주차장,37.5856483,126.9665371,0,화장실,공중화장실
서울 종로구 인사동길 6 (인사동),남인사마당 공중화장실,37.5730544,126.9863692,0,화장실,공중화장실
서울특별시 종로구 성균관로91,올림픽기념국민생활관,37.590434,126.9987747,0,화장실,공중화장실
서울특별시 종로구 지봉로5길 7-5,종로구민회관,37.5734636,127.0143719,0,화장실,공중화장실
서울특별시 종로구 인왕산로1길 21,종로문화체육센터,37.5742102,126.9646484,0,화장실,공중화장실
서울특별시 종로구 삼청로 156,삼청테니스장,37.5893704,126.9803132,0,화장실,공중화장실
서울특별시 창신길 124,동부여성문화센터,37.5768851,127.0098844,0,화장실,공중화장실
서울 종로구 사직로 65,주식회사 대양씨앤씨,37.5744645,126.9666181,0,화장실,개방화장실
서울 종로구 율곡로 58,SK네트웍스㈜재동주유소,37.5763883,126.9858508,0,화장실,개방화장실
